Country,Population,GDP,Literacy,Phones,Birthrate,Deathrate,Agriculture,Industry,Service,Latitude,Longitude
Afghanistan,31056997,700,36,3.2,46.6,20.34,0.38,0.24,0.38,33.93911,67.709953
Albania,3581655,4500,86.5,71.2,15.11,5.22,0.23,0.19,0.58,41.153332,20.168331
Algeria,32930091,6000,70,78.1,17.14,4.61,0.1,0.6,0.3,28.033886,1.659626
American Samoa,57794,8000,97,259.5,22.46,3.27,,,,-14.270972,-170.132217
Andorra,71201,19000,100,497.2,8.71,6.25,,,,42.506285,1.521801
Angola,12127071,1900,42,7.8,45.11,24.2,0.1,0.66,0.25,-11.202692,17.873887
Anguilla,13477,8600,95,460,14.17,5.34,0.04,0.18,0.78,18.220554,-63.068615
Antigua & Barbuda,69108,11000,89,549.9,16.93,5.37,0.04,0.22,0.74,17.060816,-61.796428
Argentina,39921833,11200,97.1,220.4,16.73,7.55,0.1,0.36,0.55,-38.416097,-63.616672
Armenia,2976372,3500,98.6,195.7,12.07,8.23,0.24,0.34,0.42,40.069099,45.038189
Aruba,71891,28000,97,516.1,11.03,6.68,0,0.33,0.66,12.52111,-69.968338
Australia,20264082,29000,100,565.5,12.14,7.51,0.04,0.26,0.7,-25.274398,133.775136
Austria,8192880,30000,98,452.2,8.74,9.76,0.02,0.3,0.68,47.516231,14.550072
Azerbaijan,7961619,3400,97,137.1,20.74,9.75,0.14,0.46,0.4,40.143105,47.576927
Bahamas. The,303770,16700,95.6,460.6,17.57,9.05,0.03,0.07,0.9,25.03428,-77.39628
Bahrain,698585,16900,89.1,281.3,17.8,4.14,0.01,0.39,0.61,26.0667,50.5577
Bangladesh,147365352,1900,43.1,7.3,29.8,8.27,0.2,0.2,0.6,23.684994,90.356331
Barbados,279912,15700,97.4,481.9,12.71,8.67,0.06,0.16,0.78,13.193887,-59.543198
Belarus,10293011,6100,99.6,319.1,11.16,14.02,0.09,0.32,0.59,53.709807,27.953389
Belgium,10379067,29100,98,462.6,10.38,10.27,0.01,0.24,0.75,50.503887,4.469936
Belize,287730,4900,94.1,115.7,28.84,5.72,0.14,0.15,0.61,17.189877,-88.49765
Benin,7862944,1100,40.9,9.7,38.85,12.22,0.32,0.14,0.55,9.30769,2.315834
Bermuda,65773,36000,98,851.4,11.4,7.74,0.01,0.1,0.89,32.3078,-64.7505
Bhutan,2279723,1300,42.2,14.3,33.65,12.7,0.26,0.38,0.36,27.514162,90.433601
Bolivia,8989046,2400,87.2,71.9,23.3,7.53,0.13,0.35,0.52,-16.290154,-63.588653
Bosnia & Herzegovina,4498976,6100,,215.4,8.77,8.27,0.14,0.31,0.55,43.915886,17.679076
Botswana,1639833,9000,79.8,80.5,23.08,29.5,0.02,0.47,0.51,-22.328474,24.684866
Brazil,188078227,7600,86.4,225.3,16.56,6.17,0.08,0.4,0.52,-14.235004,-51.92528
British Virgin Is.,23098,16000,97.8,506.5,14.89,4.42,0.02,0.06,0.92,18.420695,-64.639968
Brunei,379444,18600,93.9,237.2,18.79,3.45,0.04,0.56,0.4,4.535277,114.727669
Bulgaria,7385367,7600,98.6,336.3,9.65,14.27,0.09,0.3,0.6,42.733883,25.48583
Burkina Faso,13902972,1100,26.6,7,45.62,15.6,0.32,0.2,0.48,12.238333,-1.561593
Burma,47382633,1800,85.3,10.1,17.91,9.83,0.56,0.08,0.35,21.916221,95.955974
Burundi,8090068,600,51.6,3.4,42.22,13.46,0.46,0.2,0.33,-3.373056,29.918886
Cambodia,13881427,1900,69.4,2.6,26.9,9.06,0.35,0.3,0.35,12.565679,104.990963
Cameroon,17340702,1800,79,5.7,33.89,13.47,0.45,0.17,0.38,7.369722,12.354722
Canada,33098932,29800,97,552.2,10.78,7.8,0.02,0.29,0.68,56.130366,-106.346771
Cape Verde,420979,1400,76.6,169.6,24.87,6.55,0.12,0.22,0.66,16.5388,-23.0418
Cayman Islands,45436,35000,98,836.3,12.74,4.89,0.01,0.03,0.95,19.3133,-81.2546
Central African Rep.,4303356,1100,51,2.3,33.91,18.65,0.55,0.2,0.25,6.611111,20.939444
Chad,9944201,1200,47.5,1.3,45.73,16.38,0.34,0.26,0.41,15.454166,18.732207
Chile,16134219,9900,96.2,213,15.23,5.81,0.06,0.49,0.45,-35.675147,-71.542969
China,1313973713,5000,90.9,266.7,13.25,6.97,0.13,0.47,0.4,35.86166,104.195397
Colombia,43593035,6300,92.5,176.2,20.48,5.58,0.13,0.34,0.53,4.570868,-74.297333
Comoros,690948,700,56.5,24.5,36.93,8.2,0.4,0.04,0.56,-11.6455,43.3333
Congo. Dem. Rep.,62660551,700,65.5,0.2,43.69,13.27,0.55,0.11,0.34,-4.038333,21.758664
Congo. Repub. of the,3702314,700,83.8,3.7,42.57,12.93,0.06,0.57,0.37,-0.228021,15.827659
Cook Islands,21388,5000,95,289.9,21,,0.15,0.1,0.75,-21.236736,-159.777671
Costa Rica,4075261,9100,96,340.7,18.32,4.36,0.09,0.3,0.61,9.748917,-83.753428
Cote d'Ivoire,17654843,1400,50.9,14.6,35.11,14.84,0.28,0.17,0.55,7.539989,-5.54708
Croatia,4494749,10600,98.5,420.4,9.61,11.48,0.07,0.31,0.62,45.1,15.2000001
Cuba,11382820,2900,97,74.7,11.89,7.22,0.06,0.26,0.68,21.521757,-77.781167
Cyprus,784301,19200,97.6,,12.56,7.68,0.04,0.2,0.77,35.126413,33.429859
Czech Republic,10235455,15700,99.9,314.3,9.02,10.59,0.03,0.39,0.57,49.817492,15.472962
Denmark,5450661,31100,100,614.6,11.13,10.36,0.02,0.25,0.74,56.26392,9.501785
Djibouti,486530,1300,67.9,22.8,39.53,19.31,0.18,0.23,0.6,11.825138,42.590275
Dominica,68910,5400,94,304.8,15.27,6.73,0.18,0.33,0.5,15.414999,-61.370976
